USER_ID,USERNAME,TASK_COMPLETED_STATUS,TASK_TITLE
1,Bret,Not Completed,delectus aut autem
1,Bret,Not Completed,quis ut nam facilis et officia qui
1,Bret,Not Completed,fugiat veniam minus
1,Bret,Completed,et porro tempora
1,Bret,Not Completed,laboriosam mollitia et enim quasi adipisci quia provident illum
1,Bret,Not Completed,qui ullam ratione quibusdam voluptatem quia omnis
1,Bret,Not Completed,illo expedita consequatur quia in
1,Bret,Completed,quo adipisci enim quam ut ab
1,Bret,Not Completed,molestiae perspiciatis ipsa
1,Bret,Completed,illo est ratione doloremque quia maiores aut
1,Bret,Completed,vero rerum temporibus dolor
1,Bret,Completed,ipsa repellendus fugit nisi
1,Bret,Not Completed,et doloremque nulla
1,Bret,Completed,repellendus sunt dolores architecto voluptatum
1,Bret,Completed,ab voluptatum amet voluptas
1,Bret,Completed,accusamus eos facilis sint et aut voluptatem
1,Bret,Completed,quo laboriosam deleniti aut qui
1,Bret,Not Completed,dolorum est consequatur ea mollitia in culpa
1,Bret,Completed,molestiae ipsa aut voluptatibus pariatur dolor nihil
1,Bret,Completed,ullam nobis libero sapiente ad optio sint
